name,price,image
MERCEDES BENZ GLA 200,95.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/08/FPM200-M-BENZ-GLA-200-1.webp
FORD ESCAPE SE,79.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/08/FVV646-FORD-ESCAPE-1.webp
MERCEDES BENZ B180,86.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/08/FYN294-M-BENZ-1.webp
MERCEDES BENZ ATEGO,356.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/08/KYP899-M-BENZ-ATECO-1.webp
RENAULT DUSTER 4*2,72.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/08/LHS819-R-DUSTER-1.webp
HYUNDAY TUCSON PREMIUN,124.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/07/lhy564-hyundai-tucson-10.webp
SSANGYONG TIVOLI,72.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/07/LHV883-SANNG-YOUNG-TIVOLI-2.webp
TOYOTA PRADO 4X4,275.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/07/KYO282-TOYOTA-1.webp
BMW X1 DRIVE 20I 4X4,80.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/07/HKS849-BMW-Copy.webp
MAZDA CX 5 GRAND,118.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/06/KNY587-MAZDA-CX-5-Copy.jpg
TOYOTA NEW FORTUNER 2.7 4X4,94.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/06/RGK617-TOYOTA-FORTUNER-Copy.jpg
CHEVROLET SONIC LT HB,43.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/06/JDO711-CHEVROLET-SONIC-Copy.jpg
FORD NEW ESCAPE 2.0 4X2,104.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/03/KQY812-FORD-ESCAPE-Copy.jpg
DODGE  RAM 700 XPRESS 1.4,36.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/02/IMG_0989-Copy.jpg
PEUGEOT 2008,59.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/01/DQT070-PEUGEOT-2008-Copy.jpg
RAM 700 XPRESS,38.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2023/12/FST894-DODGE-RAM-700-Copy.jpg
DODGE DURANGO GT 4X4,190.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2023/06/JWV815-DODGE-DURANGO-Copy.jpg
